snooze_count,historical_success_rate,avg_time_taken_ms,last_failed_type,target_challenge_type,target_difficulty,target_multi_step
3,0.57,17529,logic,memory,2,2
3,0.91,3994,riddle,pattern,5,3
0,0.54,4787,math,memory,3,1
1,0.62,4664,word_scramble,memory,3,1
4,0.33,17481,pattern,memory,1,2
2,0.77,10534,word_scramble,word_scramble,3,2
4,0.9,1505,riddle,logic,5,3
0,0.81,11044,logic,math,1,1
1,0.45,5783,word_scramble,memory,3,1
1,0.68,4833,word_scramble,memory,3,1
0,0.49,2132,math,memory,2,1
1,0.68,5606,word_scramble,memory,3,1
0,0.65,2399,math,memory,2,1
0,0.55,2178,word_scramble,memory,2,1
4,0.52,22846,math,word_scramble,1,2
1,0.58,5113,word_scramble,memory,2,1
1,0.78,9929,riddle,word_scramble,2,1
1,0.63,7209,quiz,math,2,1
4,0.41,12964,logic,quiz,1,2
4,0.44,24869,math,quiz,2,2
4,0.89,1752,riddle,pattern,5,3
0,0.57,3283,math,memory,3,1
4,0.49,14625,pattern,memory,1,2
5,0.53,24076,logic,memory,2,2
2,0.71,8013,none,word_scramble,3,2
3,0.94,3565,none,pattern,4,3
3,0.72,6674,memory,quiz,4,3
3,0.35,23694,logic,word_scramble,1,2
6,0.99,3086,none,pattern,5,3
3,0.96,3691,none,logic,4,3
0,0.77,5632,riddle,word_scramble,1,1
2,0.82,6790,riddle,word_scramble,3,2
4,0.53,20254,math,word_scramble,1,2
4,0.58,12652,logic,word_scramble,2,2
4,0.42,21818,pattern,quiz,2,2
0,0.65,7071,math,memory,1,1
0,0.49,5463,math,memory,2,1
0,0.45,2913,word_scramble,memory,2,1
3,0.58,15365,pattern,memory,2,2
0,0.84,10650,pattern,riddle,1,1
3,0.56,24792,pattern,memory,1,2
4,0.99,3589,logic,riddle,4,3
6,0.96,2281,none,logic,4,3
5,0.87,2051,riddle,logic,4,3
3,0.31,19653,logic,word_scramble,2,2
0,0.47,3153,math,memory,3,1
3,0.84,8403,memory,riddle,4,3
5,0.94,2772,logic,riddle,4,3
4,0.55,20451,pattern,memory,1,2
6,0.97,3661,logic,riddle,4,3
4,0.93,2145,logic,riddle,4,3
4,0.45,13307,math,quiz,1,2
0,0.64,5533,math,memory,3,1
5,0.89,2236,riddle,logic,4,3
5,0.99,2190,logic,logic,5,3
4,0.57,18651,pattern,memory,1,2
5,0.58,18914,math,quiz,1,2
3,0.98,2613,riddle,riddle,4,3
3,0.95,2099,logic,pattern,5,3
0,0.7,6203,quiz,memory,1,1
5,0.86,1506,riddle,pattern,4,3
1,0.52,3097,word_scramble,memory,2,1
4,0.55,14771,math,memory,2,2
2,0.67,9243,math,logic,3,2
0,0.65,5864,word_scramble,memory,2,1
3,0.66,11351,logic,logic,4,3
3,0.36,24847,math,word_scramble,2,2
4,0.43,23734,pattern,quiz,1,2
1,0.54,2447,word_scramble,memory,2,1
4,0.41,21526,pattern,word_scramble,1,2
0,0.55,2454,word_scramble,memory,3,1
3,0.92,2092,logic,logic,4,3
3,0.99,2293,logic,logic,4,3
6,0.97,2766,none,pattern,5,3
1,0.67,9675,word_scramble,math,2,1
3,0.42,17466,pattern,quiz,2,2
3,0.37,14019,pattern,quiz,2,2
3,0.6,20492,math,word_scramble,2,2
6,0.91,3314,riddle,pattern,4,3
4,0.96,3974,logic,riddle,5,3
0,0.7,8562,none,quiz,1,1
3,0.5,19128,pattern,quiz,2,2
0,0.49,5992,math,memory,3,1
1,0.46,4431,word_scramble,memory,2,1
1,0.81,9297,riddle,math,2,1
1,0.43,2467,word_scramble,memory,2,1
3,0.85,2666,none,riddle,4,3
5,0.44,22821,logic,quiz,1,2
2,0.79,9271,word_scramble,pattern,3,2
1,0.57,4356,word_scramble,memory,3,1
